shot_id,game_id
214008994,21400899
214008909,21400890
2140089010,21400890
2140089011,21400890
2140089012,21400890
2140088213,21400882
2140089928,21400899
2140089035,21400890
2140089036,21400890
2140089037,21400890
2140089038,21400890
2140089039,21400890
2140089040,21400890
2140089041,21400890
2140089042,21400890
2140089043,21400890
2140089044,21400890
2140089045,21400890
2140089046,21400890
2140089047,21400890
2140089048,21400890
2140089049,21400890
2140089051,21400890
2140089052,21400890
2140089053,21400890
2140088254,21400882
2140088255,21400882
2140088256,21400882
2140088257,21400882
2140088258,21400882
2140088259,21400882
2140088260,21400882
2140088261,21400882
2140088262,21400882
2140088263,21400882
2140088264,21400882
2140088265,21400882
2140088266,21400882
2140088267,21400882
2140088268,21400882
2140088269,21400882
2140089970,21400899
2140089971,21400899
2140089973,21400899
2140089080,21400890
2140089083,21400890
2140088285,21400882
2140088286,21400882
2140088287,21400882
2140088288,21400882
2140088289,21400882
2140088290,21400882
2140088291,21400882
2140088292,21400882
2140088293,21400882
2140088294,21400882
2140090295,21400902
2140090296,21400902
2140090297,21400902
2140090298,21400902
2140090299,21400902
21400902100,21400902
21400902101,21400902
21400902102,21400902
21400902103,21400902
21400902104,21400902
21400902105,21400902
21400902106,21400902
21400902107,21400902
21400888108,21400888
21400888109,21400888
21400888110,21400888
21400888111,21400888
21400888112,21400888
21400888113,21400888
21400888114,21400888
21400888115,21400888
21400888116,21400888
21400888117,21400888
21400888118,21400888
21400888119,21400888
21400888120,21400888
21400888121,21400888
21400888122,21400888
21400888123,21400888
21400888124,21400888
21400899133,21400899
21400890136,21400890
21400890137,21400890
21400890138,21400890
21400890139,21400890
21400890141,21400890
21400890142,21400890
21400890143,21400890
21400890144,21400890
21400890145,21400890
21400890146,21400890
21400890147,21400890
21400890148,21400890
21400890150,21400890
21400882151,21400882
21400882152,21400882
21400882153,21400882
21400882154,21400882
21400882155,21400882
21400882156,21400882
21400882157,21400882
21400882158,21400882
21400882159,21400882
21400882160,21400882
21400882161,21400882
21400882162,21400882
21400882163,21400882
21400890195,21400890
21400890196,21400890
21400882197,21400882
21400882198,21400882
21400882199,21400882
21400882200,21400882
21400882201,21400882
21400882202,21400882
21400882203,21400882
21400899207,21400899
