shot_id,shooter_id,defender_id,defender_distance
214008994,23360.0,23512.0,0.34
214008909,23360.0,23042.0,6.04
2140089010,23360.0,23216.0,1.43
2140089011,23360.0,23216.0,0.55
2140089012,23360.0,23132.0,1.65
2140088213,23360.0,23102.0,1.34
2140089928,23155.0,23512.0,0.76
2140089035,23155.0,23378.0,0.7
2140089036,23155.0,23378.0,0.79
2140089037,23155.0,23378.0,1.4
2140089038,23155.0,23378.0,1.52
2140089039,23155.0,23378.0,1.04
2140089040,23155.0,23378.0,0.24
2140089041,23155.0,23378.0,0.88
2140089042,23155.0,23378.0,0.76
2140089043,23155.0,23188.0,0.61
2140089044,23155.0,23378.0,0.79
2140089045,23155.0,23378.0,1.16
2140089046,23155.0,23132.0,1.68
2140089047,23155.0,23132.0,1.25
2140089048,23155.0,23132.0,1.19
2140089049,23155.0,23132.0,1.13
2140089051,23155.0,23132.0,0.09
2140089052,23155.0,23132.0,0.67
2140089053,23155.0,23132.0,0.24
2140088254,23155.0,23119.0,1.16
2140088255,23155.0,23302.0,0.67
2140088256,23155.0,23465.0,0.52
2140088257,23155.0,23465.0,1.28
2140088258,23155.0,23465.0,1.55
2140088259,23155.0,23465.0,1.01
2140088260,23155.0,23302.0,0.58
2140088261,23155.0,23465.0,1.22
2140088262,23155.0,23019.0,0.91
2140088263,23155.0,23019.0,1.74
2140088264,23155.0,23465.0,0.94
2140088265,23155.0,23465.0,2.07
2140088266,23155.0,23119.0,0.52
2140088267,23155.0,23465.0,1.31
2140088268,23155.0,23465.0,0.88
2140088269,23155.0,23465.0,1.62
2140089970,23514.0,23512.0,3.14
2140089971,23514.0,23512.0,0.49
2140089973,23514.0,23512.0,0.58
2140089080,23514.0,23378.0,0.91
2140089083,23514.0,22979.0,1.95
2140088285,23514.0,23066.0,1.19
2140088286,23514.0,23465.0,0.85
2140088287,23514.0,23465.0,0.21
2140088288,23514.0,23465.0,0.85
2140088289,23514.0,23066.0,2.04
2140088290,23514.0,23115.0,0.46
2140088291,23514.0,23465.0,1.55
2140088292,23514.0,23302.0,4.11
2140088293,23514.0,23291.0,0.88
2140088294,23514.0,23119.0,1.83
2140090295,23286.0,23290.0,0.85
2140090296,23286.0,23290.0,1.04
2140090297,23286.0,22907.0,0.98
2140090298,23286.0,22907.0,0.67
2140090299,23286.0,23067.0,0.94
21400902100,23286.0,22907.0,0.85
21400902101,23286.0,22907.0,1.31
21400902102,23286.0,23117.0,0.46
21400902103,23286.0,22907.0,0.98
21400902104,23286.0,22907.0,1.34
21400902105,23286.0,23117.0,1.07
21400902106,23286.0,23204.0,0.94
21400902107,23286.0,23067.0,1.16
21400888108,23286.0,23352.0,0.76
21400888109,23286.0,23352.0,1.04
21400888110,23286.0,23352.0,0.82
21400888111,23286.0,23357.0,0.79
21400888112,23286.0,23121.0,0.18
21400888113,23286.0,23352.0,0.73
21400888114,23286.0,23352.0,1.46
21400888115,23286.0,23121.0,1.19
21400888116,23286.0,23352.0,1.13
21400888117,23286.0,23180.0,1.52
21400888118,23286.0,23357.0,1.83
21400888119,23286.0,23352.0,1.43
21400888120,23286.0,23352.0,0.58
21400888121,23286.0,23484.0,1.1
21400888122,23286.0,23352.0,0.09
21400888123,23286.0,23357.0,0.37
21400888124,23286.0,23176.0,0.88
21400899133,23125.0,23512.0,2.07
21400890136,23125.0,23042.0,1.31
21400890137,23125.0,23042.0,1.98
21400890138,23125.0,23175.0,0.61
21400890139,23125.0,23175.0,1.13
21400890141,23125.0,23042.0,0.98
21400890142,23125.0,23188.0,2.62
21400890143,23125.0,23042.0,0.58
21400890144,23125.0,23188.0,2.13
21400890145,23125.0,23042.0,1.25
21400890146,23125.0,22979.0,0.88
21400890147,23125.0,23188.0,0.98
21400890148,23125.0,23042.0,1.28
21400890150,23125.0,23042.0,0.94
21400882151,23125.0,23302.0,1.46
21400882152,23125.0,23302.0,0.55
21400882153,23125.0,23465.0,1.86
21400882154,23125.0,23302.0,1.1
21400882155,23125.0,23465.0,1.34
21400882156,23125.0,23302.0,1.89
21400882157,23125.0,23302.0,1.95
21400882158,23125.0,23302.0,1.62
21400882159,23125.0,23302.0,1.37
21400882160,23125.0,23086.0,1.28
21400882161,23125.0,23019.0,0.46
21400882162,23125.0,23086.0,1.25
21400882163,23125.0,23086.0,1.13
21400890195,23421.0,23042.0,1.43
21400890196,23421.0,23042.0,1.01
21400882197,23421.0,23302.0,2.93
21400882198,23421.0,23316.0,1.34
21400882199,23421.0,23066.0,1.19
21400882200,23421.0,23119.0,1.4
21400882201,23421.0,23302.0,0.4
21400882202,23421.0,23102.0,1.01
21400882203,23421.0,23086.0,1.04
21400899207,23491.0,23512.0,3.11
21400899209,23491.0,23512.0,1.49
21400899210,23491.0,23512.0,0.15
21400899211,23491.0,23512.0,0.03
21400890217,23491.0,23175.0,1.16
21400882218,23491.0,23465.0,1.68
21400882219,23491.0,23291.0,2.16
21400882220,23491.0,23465.0,0.98
21400882221,23491.0,23019.0,1.86
21400882222,23491.0,23291.0,1.86
21400882223,23491.0,23291.0,1.74
21400898226,23123.0,22934.0,1.92
21400898227,23123.0,22934.0,0.03
21400898228,23123.0,22934.0,1.22
21400898229,23123.0,23457.0,0.73
21400898230,23123.0,23457.0,1.16
21400898231,23123.0,22996.0,1.1
21400898232,23123.0,22934.0,1.04
21400898233,23123.0,23161.0,1.92
21400898235,23123.0,23402.0,0.94
21400898236,23123.0,22908.0,1.49
21400894237,23123.0,23101.0,1.46
21400894238,23123.0,23101.0,1.74
21400894239,23123.0,23208.0,0.82
21400894240,23123.0,22866.0,0.4
21400894241,23123.0,22986.0,0.79
21400894242,23123.0,23208.0,1.62
21400894243,23123.0,23101.0,2.23
21400894244,23123.0,23101.0,3.29
21400894245,23123.0,23101.0,1.58
21400894246,23123.0,23101.0,1.07
21400894247,23123.0,23073.0,0.34
21400894248,23123.0,23101.0,1.62
21400894249,23123.0,23101.0,1.4
21400894250,23123.0,23101.0,1.8
21400894251,23123.0,23073.0,0.49
21400894252,23123.0,23101.0,0.55
21400894253,23123.0,23208.0,1.04
21400894254,23123.0,22866.0,1.04
21400894255,23123.0,22957.0,0.61
21400898256,22931.0,23161.0,1.1
21400898257,22931.0,23303.0,1.25
21400898258,22931.0,22996.0,1.65
21400898259,22931.0,22996.0,0.58
21400898260,22931.0,22996.0,1.16
21400898262,22931.0,23457.0,1.04
21400894263,22931.0,23073.0,1.01
21400894264,22931.0,23073.0,1.65
21400894266,22931.0,23098.0,1.65
21400894267,22931.0,22986.0,0.61
21400904268,23186.0,23354.0,0.79
21400904271,23186.0,23369.0,0.85
21400878276,23186.0,23188.0,0.91
21400878277,23186.0,23188.0,0.55
21400878278,23186.0,23378.0,0.52
21400878279,23186.0,23378.0,0.7
21400878280,23186.0,23378.0,1.07
21400878281,23186.0,23378.0,1.52
21400878282,23186.0,23378.0,0.82
21400878283,23186.0,23378.0,1.77
21400878285,23186.0,23132.0,0.73
21400898286,23055.0,22908.0,0.0
21400898287,23055.0,22908.0,1.74
21400898288,23055.0,22908.0,0.49
21400898289,23055.0,23509.0,0.88
21400898290,23055.0,22996.0,0.67
21400898291,23055.0,23402.0,0.76
21400898292,23055.0,22908.0,0.7
21400898293,23055.0,22908.0,1.89
21400898294,23055.0,22996.0,1.07
21400898295,23055.0,22996.0,1.62
21400894297,23055.0,23073.0,0.98
21400894298,23055.0,23073.0,1.55
21400894304,23055.0,23101.0,0.52
21400894308,23055.0,22957.0,1.1
21400898310,23051.0,22934.0,1.43
21400898311,23051.0,23438.0,1.1
21400898312,23051.0,23402.0,1.95
21400898313,23051.0,23402.0,1.49
21400894314,23051.0,22986.0,1.28
21400894315,23051.0,22986.0,3.54
21400894316,23051.0,22986.0,1.83
21400894317,23051.0,22986.0,0.61
21400894318,23051.0,22986.0,1.43
21400898319,23147.0,23402.0,1.77
21400898320,23147.0,23457.0,2.01
21400898321,23147.0,23509.0,1.58
21400898322,23147.0,22996.0,0.7
21400894324,23147.0,23208.0,2.07
21400894325,23147.0,23208.0,1.55
21400894326,23147.0,23101.0,1.1
21400894327,23147.0,23101.0,1.83
21400894328,23147.0,23208.0,2.99
21400898329,22949.0,23438.0,1.16
21400898331,22949.0,23161.0,1.13
21400898332,22949.0,22934.0,1.49
21400898333,22949.0,22908.0,0.46
21400898334,22949.0,22934.0,1.13
21400898335,22949.0,22934.0,0.76
21400898336,22949.0,22934.0,1.1
21400898337,22949.0,23402.0,0.55
21400898338,22949.0,22908.0,1.31
21400898339,22949.0,23402.0,2.07
21400898340,22949.0,23402.0,1.01
21400898341,22949.0,23438.0,1.8
21400898342,22949.0,23161.0,3.66
21400898343,22949.0,23402.0,0.06
21400898344,22949.0,23402.0,0.98
21400894346,22949.0,22986.0,0.67
21400894347,22949.0,23208.0,1.43
21400894348,22949.0,22957.0,0.85
21400894349,22949.0,22866.0,1.07
21400894350,22949.0,22957.0,1.07
21400894351,22949.0,23101.0,0.79
21400894352,22949.0,22986.0,1.22
21400894353,22949.0,22986.0,1.58
21400894354,22949.0,22986.0,0.98
21400894355,22949.0,22986.0,1.68
21400894356,22949.0,23101.0,0.27
21400898357,23082.0,22934.0,0.82
21400898358,23082.0,22908.0,0.82
21400898362,23082.0,23457.0,0.61
21400898363,23082.0,22934.0,1.1
21400898365,23082.0,22996.0,0.34
21400894366,23082.0,23214.0,0.49
21400894367,23082.0,23214.0,1.34
21400894371,23082.0,23073.0,0.73
21400894372,23082.0,23073.0,0.27
21400894373,23082.0,23073.0,0.61
21400894374,23082.0,23101.0,1.16
21400894375,23082.0,23073.0,0.73
21400905405,23216.0,23174.0,1.52
21400905406,23216.0,22882.0,0.79
21400905407,23216.0,22970.0,0.91
21400905408,23216.0,22970.0,0.61
21400905410,23216.0,23031.0,0.34
21400905411,23216.0,22882.0,2.19
21400905412,23216.0,23031.0,2.74
21400905413,23216.0,23031.0,1.98
21400905414,23216.0,23470.0,1.65
21400905415,23216.0,23031.0,0.49
21400905416,23216.0,23031.0,1.68
21400890417,23216.0,23125.0,1.86
21400890418,23216.0,23125.0,1.95
21400890419,23216.0,23360.0,0.91
21400890420,23216.0,23421.0,0.76
21400890421,23216.0,23491.0,0.76
21400890422,23216.0,23360.0,0.76
21400890423,23216.0,23360.0,1.19
21400890424,23216.0,23360.0,0.73
21400890425,23216.0,23360.0,1.16
21400878433,23216.0,23186.0,0.3
21400878434,23216.0,23469.0,0.98
21400878435,23216.0,22894.0,0.79
21400878436,23216.0,23273.0,1.34
21400878437,23216.0,23399.0,1.31
21400878438,23216.0,23469.0,2.19
21400878439,23216.0,23243.0,0.64
21400878440,23216.0,23144.0,0.67
21400878441,23216.0,23199.0,1.01
21400878442,23216.0,23186.0,1.55
21400878443,23216.0,23186.0,0.61
21400878444,23216.0,23186.0,1.46
21400878445,23216.0,23186.0,0.27
21400878446,23216.0,23469.0,1.65
21400905465,23042.0,23031.0,1.22
21400905466,23042.0,23120.0,1.58
21400905467,23042.0,23466.0,2.01
21400905468,23042.0,23021.0,0.91
21400905469,23042.0,23031.0,6.1
21400905470,23042.0,23470.0,2.53
21400905471,23042.0,23174.0,0.15
21400905472,23042.0,22914.0,1.49
21400905473,23042.0,23031.0,0.98
21400905474,23042.0,23120.0,0.27
21400905475,23042.0,23021.0,0.76
21400905476,23042.0,22970.0,1.04
21400905477,23042.0,23031.0,2.96
21400905478,23042.0,22914.0,1.37
21400905479,23042.0,23021.0,1.1
21400890480,23042.0,23125.0,1.8
21400890481,23042.0,23125.0,1.13
21400890482,23042.0,23125.0,2.1
21400890483,23042.0,23125.0,0.91
21400890484,23042.0,23125.0,1.07
21400890485,23042.0,23125.0,0.94
21400890486,23042.0,23125.0,1.22
21400890487,23042.0,23155.0,0.46
21400878488,23042.0,23359.0,1.71
21400878489,23042.0,23144.0,0.73
21400878490,23042.0,22985.0,1.46
21400878491,23042.0,23273.0,0.3
21400878492,23042.0,22894.0,0.55
21400878493,23042.0,23399.0,1.34
21400878494,23042.0,23399.0,1.49
21400878495,23042.0,23359.0,1.25
21400878496,23042.0,23469.0,2.5
21400878497,23042.0,23273.0,4.02
21400878498,23042.0,23199.0,1.19
21400878499,23042.0,23144.0,0.37
21400878500,23042.0,23186.0,1.65
21400878501,23042.0,23186.0,0.94
21400878502,23042.0,23199.0,1.8
21400905503,23175.0,23470.0,2.38
21400905504,23175.0,22882.0,1.04
21400905505,23175.0,23466.0,0.91
21400905506,23175.0,22970.0,1.46
21400905507,23175.0,23470.0,1.22
21400905508,23175.0,23470.0,1.95
21400905509,23175.0,23021.0,1.04
21400905510,23175.0,22970.0,1.19
21400905511,23175.0,23470.0,1.16
21400905512,23175.0,23470.0,1.55
21400890513,23175.0,23360.0,0.4
21400890514,23175.0,23125.0,1.62
21400890515,23175.0,23125.0,0.85
21400890516,23175.0,23125.0,0.61
21400890517,23175.0,23493.0,1.98
21400890518,23175.0,23125.0,1.22
21400890519,23175.0,23491.0,1.28
21400878520,23175.0,23273.0,1.71
21400878521,23175.0,23273.0,1.68
21400878522,23175.0,23273.0,1.19
21400878523,23175.0,22985.0,1.4
21400878524,23175.0,22985.0,1.22
21400878525,23175.0,23273.0,2.07
21400878526,23175.0,23399.0,2.16
21400878527,23175.0,23399.0,1.22
21400905528,23132.0,23470.0,1.46
21400905529,23132.0,23470.0,0.12
21400905530,23132.0,22914.0,2.16
21400905531,23132.0,22914.0,1.83
21400905533,23132.0,22882.0,0.58
21400905534,23132.0,22882.0,2.35
21400905535,23132.0,23466.0,0.49
21400905536,23132.0,23470.0,0.94
21400905538,23132.0,23470.0,2.65
21400905539,23132.0,23466.0,1.86
21400905541,23132.0,23470.0,5.0
21400890542,23132.0,23491.0,0.85
21400890543,23132.0,23491.0,1.62
21400890545,23132.0,23360.0,0.91
21400890546,23132.0,23491.0,2.9
21400890547,23132.0,23491.0,1.95
21400890549,23132.0,23491.0,0.61
21400890550,23132.0,23491.0,2.13
21400890551,23132.0,23491.0,1.58
21400890552,23132.0,23125.0,4.05
21400890553,23132.0,23155.0,1.55
21400890554,23132.0,23514.0,0.46
21400878555,23132.0,22985.0,1.89
21400878556,23132.0,22985.0,1.25
21400878557,23132.0,23243.0,0.85
21400878558,23132.0,23186.0,1.55
21400878559,23132.0,22985.0,1.8
21400878560,23132.0,23273.0,2.83
21400878561,23132.0,22985.0,1.62
21400878562,23132.0,23144.0,0.91
21400878563,23132.0,23186.0,0.85
21400878564,23132.0,23469.0,0.64
21400890568,23378.0,23514.0,2.32
21400890569,23378.0,23155.0,0.82
21400890570,23378.0,23155.0,1.46
21400890571,23378.0,23155.0,1.01
